bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.000,0.000,0.000,0.400,0.000,3,4
1,0.010,0.016,0.000,0.250,0.000,3,7
2,0.057,0.232,0.038,0.571,0.374,4,7
3,0.029,0.194,0.025,0.778,0.276,7,9
4,0.016,0.103,0.025,0.429,0.095,18,12
5,0.036,0.055,0.011,0.176,0.155,4,16
6,0.026,0.125,0.031,0.577,0.144,23,18
7,0.027,0.138,0.019,0.579,0.150,13,17
8,0.039,0.203,0.041,0.607,0.278,22,23
9,0.040,0.157,0.020,0.316,0.241,8,17
10,0.054,0.184,0.033,0.700,0.279,7,10
11,0.033,0.201,0.030,0.643,0.225,12,11
12,0.035,0.182,0.039,0.645,0.199,28,23
13,0.020,0.113,0.026,0.588,0.144,15,12
14,0.003,0.038,0.083,0.053,0.055,152,8
15,0.111,0.133,0.000,0.200,0.000,1,5
16,0.031,0.140,0.045,0.455,0.204,10,6
17,0.023,0.147,0.023,0.769,0.151,12,11
18,0.013,0.128,0.014,0.400,0.157,7,7
19,0.041,0.305,0.039,0.700,0.373,17,17
20,0.008,0.012,0.000,0.200,0.000,2,4
21,0.000,0.000,0.002,0.625,0.014,6,7
22,0.045,0.325,0.037,0.588,0.511,11,16
23,0.023,0.115,0.019,0.750,0.188,3,4
24,0.051,0.188,0.044,0.833,0.247,10,12
25,0.027,0.335,0.049,0.455,0.400,10,6
26,0.053,0.326,0.047,0.778,0.416,7,9
27,0.019,0.129,0.028,0.500,0.178,15,12
28,0.021,0.135,0.022,0.429,0.162,10,10
29,0.009,0.074,0.009,0.625,0.078,7,6
30,0.044,0.117,0.019,0.375,0.236,3,8
31,0.037,0.183,0.029,0.571,0.285,5,6
32,0.027,0.076,0.008,0.214,0.083,3,14
33,0.035,0.236,0.025,0.500,0.243,12,15
34,0.016,0.113,0.014,0.500,0.105,11,10
35,0.009,0.081,0.007,0.375,0.089,6,5
36,0.016,0.175,0.022,0.583,0.196,11,8
37,0.033,0.224,0.030,0.556,0.287,14,14
38,0.045,0.285,0.039,0.714,0.346,17,19
39,0.057,0.120,0.051,0.400,0.171,7,7
40,0.018,0.094,0.018,0.562,0.112,13,12
41,0.003,0.067,0.015,0.182,0.114,10,3
42,0.012,0.330,0.012,0.556,0.283,6,8
43,0.012,0.050,0.015,0.667,0.086,7,8
44,0.013,0.147,0.021,0.500,0.124,10,8
45,0.039,0.158,0.027,0.615,0.234,9,12
46,0.016,0.095,0.014,0.667,0.110,9,11
47,0.037,0.356,0.038,0.714,0.495,12,12
48,0.042,0.267,0.039,0.682,0.343,18,19
49,0.024,0.179,0.020,0.846,0.199,11,13
50,0.026,0.146,0.033,0.357,0.227,10,9
51,0.028,0.136,0.021,0.556,0.150,12,16
52,0.038,0.100,0.017,0.364,0.241,4,11
53,0.023,0.285,0.033,0.400,0.221,14,7
54,0.018,0.319,0.017,0.636,0.387,7,11
55,0.021,0.185,0.024,0.556,0.237,7,7
56,0.039,0.158,0.029,0.500,0.294,7,11
57,0.043,0.120,0.041,0.429,0.185,18,22
58,0.012,0.071,0.003,0.455,0.031,6,10
59,0.033,0.191,0.033,0.571,0.258,16,17
60,0.063,0.240,0.038,0.538,0.381,7,13
61,0.055,0.225,0.035,0.545,0.229,8,9
62,0.038,0.197,0.034,0.625,0.234,13,13
63,0.044,0.382,0.037,0.667,0.450,12,13
64,0.040,0.285,0.041,0.524,0.383,16,16
65,0.024,0.167,0.024,0.769,0.191,12,11
66,0.016,0.075,0.011,0.444,0.102,5,8
67,0.020,0.089,0.015,0.417,0.130,8,9
68,0.022,0.148,0.040,0.300,0.202,9,4
69,0.018,0.160,0.038,0.316,0.251,16,9
70,0.021,0.135,0.023,0.429,0.157,5,5
71,0.027,0.125,0.021,0.611,0.158,12,17
72,0.003,0.025,0.011,0.250,0.097,6,4
73,0.020,0.050,0.000,0.200,0.000,1,5
74,0.013,0.159,0.022,0.375,0.159,15,7
75,0.018,0.044,0.007,0.318,0.056,9,20
76,0.061,0.071,0.060,0.200,0.218,6,12
77,0.030,0.208,0.017,0.500,0.199,6,9
78,0.021,0.087,0.011,0.538,0.084,8,12
79,0.049,0.241,0.023,0.412,0.344,7,17
80,0.037,0.268,0.056,0.571,0.388,4,7
81,0.013,0.266,0.009,0.500,0.182,6,9
82,0.027,0.157,0.025,0.600,0.162,12,12
83,0.057,0.283,0.043,0.700,0.372,7,10
84,0.062,0.233,0.048,0.600,0.307,10,14
85,0.051,0.266,0.052,0.533,0.279,12,11
86,0.070,0.347,0.044,0.667,0.361,6,9
87,0.009,0.085,0.013,0.250,0.057,18,7
88,0.050,0.132,0.028,0.389,0.281,7,18
89,0.000,0.000,0.000,0.000,0.000,2,1
90,0.017,0.015,0.000,0.286,0.000,3,6
91,0.023,0.087,0.020,0.400,0.181,8,13
92,0.015,0.072,0.010,0.500,0.063,7,8
93,0.010,0.362,0.019,0.500,0.454,7,5
94,0.012,0.257,0.014,0.700,0.211,8,9
95,0.010,0.065,0.025,0.091,0.221,6,6
96,0.012,0.121,0.030,0.364,0.230,10,5
97,0.004,0.082,0.022,0.125,0.132,14,4
98,0.046,0.260,0.044,0.727,0.326,10,9
99,0.016,0.141,0.017,0.818,0.129,9,11
100,1.000,0.000,1.000,0.000,1.000,0,8
101,0.004,0.096,0.009,0.222,0.078,8,3
102,0.047,0.212,0.039,0.692,0.267,11,11
103,1.000,0.000,1.000,0.000,1.000,0,4
104,0.042,0.150,0.033,0.533,0.227,10,13
105,0.026,0.182,0.023,0.692,0.207,10,12
106,0.044,0.188,0.035,0.562,0.277,11,14
107,0.041,0.059,0.021,0.333,0.163,2,6
108,0.063,0.235,0.040,0.571,0.262,9,13
109,0.004,0.041,0.011,0.053,0.050,14,6
110,0.029,0.329,0.073,0.571,0.489,5,6
111,0.033,0.302,0.069,0.625,0.369,6,7
112,0.042,0.252,0.046,0.600,0.390,8,8
113,0.028,0.165,0.035,0.737,0.205,18,15
114,0.003,0.022,0.005,0.333,0.044,5,3
115,0.000,0.000,0.000,0.333,0.000,2,2
116,0.035,0.095,0.022,0.333,0.166,11,21
117,0.000,0.000,0.000,0.250,0.000,2,3
118,0.043,0.247,0.044,0.429,0.307,10,10
119,0.014,0.060,0.005,0.333,0.062,3,9
120,0.037,0.203,0.036,0.615,0.213,11,10
121,0.026,0.175,0.019,0.500,0.178,8,10
122,0.020,0.251,0.019,0.500,0.230,6,6
123,0.019,0.113,0.016,0.417,0.127,8,9
124,0.030,0.203,0.037,0.571,0.287,12,10
125,0.058,0.267,0.045,0.833,0.347,10,12
126,0.003,0.045,0.018,0.176,0.082,16,4
127,0.057,0.232,0.038,0.571,0.374,4,7
128,0.027,0.145,0.020,0.800,0.182,4,5
129,0.007,0.100,0.006,0.333,0.062,2,2
130,0.004,0.025,0.006,0.333,0.031,4,4
131,0.015,0.200,0.033,0.250,0.322,3,2
132,0.005,0.042,0.003,0.500,0.031,4,5
133,0.008,0.296,0.011,0.444,0.144,8,5
134,0.000,0.000,0.000,0.200,0.000,2,4
135,0.029,0.080,0.005,0.222,0.065,2,9
136,0.062,0.190,0.069,0.571,0.316,6,5
137,0.000,0.000,0.028,0.000,0.344,9,1
138,0.010,0.347,0.011,0.714,0.251,6,6
139,0.000,0.000,0.000,0.500,0.000,3,3
140,1.000,0.000,1.000,0.000,1.000,0,6
141,0.027,0.163,0.025,0.632,0.169,17,14
142,0.017,0.079,0.006,0.500,0.058,3,6
143,0.018,0.108,0.014,0.500,0.146,5,7
144,0.012,0.015,0.000,0.000,0.000,3,13
145,0.000,0.000,0.000,0.500,0.000,1,2
146,0.004,0.019,0.008,0.200,0.084,2,4
147,0.000,0.000,0.000,0.250,0.000,1,4
148,0.020,0.076,0.019,0.417,0.103,8,9
149,0.002,0.243,0.004,0.200,0.092,4,2
150,0.003,0.022,0.006,0.167,0.037,4,3
151,0.004,0.030,0.007,0.571,0.064,6,5
152,0.023,0.082,0.018,0.667,0.144,4,6

strong ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,1.000,0.000,1.000,0.000,1.000,0,1
1,0.000,1.000,0.000,0.000,0.000,2,0
2,0.148,0.550,0.148,1.000,0.532,4,4
3,0.147,0.462,0.146,1.000,0.443,5,5
4,0.056,0.139,0.059,0.333,0.079,5,3
5,0.050,0.062,0.000,0.400,0.000,3,4
6,0.056,0.111,0.071,0.533,0.089,14,9
7,0.064,0.190,0.057,0.571,0.157,6,5
8,0.079,0.175,0.079,0.750,0.188,11,10
9,0.070,0.096,0.037,0.600,0.143,3,5
